WordLengthFeature,CharacterFrequencyFeature,FunctionWordFeature,CapitalLetterFeature,UpperCaseFeature,WordFrequencyFeature,PosTagFeature,EmoticonFeature,PostLengthFeature,PrefixSuffixFeature,BlankLineAndParagraphFeature,SentenceLengthFeature,dasBlondinchen_recall,kaithrun_recall,livsglaedjen_recall,saschalobo_recall,schminktante_recall,spreemieze_recall,recall-avg
0,0,0,1,0,0,1,0,0,0,1,1,0.4593103448275862,0.3429885057471264,0.38436781609195403,0.41195402298850575,0.4629885057471264,0.40367816091954023,0.4108812260536398
1,0,0,1,0,0,1,0,0,0,1,1,0.45616438356164385,0.34657534246575344,0.3872146118721461,0.4091324200913242,0.4666666666666667,0.40273972602739727,0.4114155251141553
0,1,0,1,0,0,1,0,0,0,1,1,0.4530612244897959,0.35011337868480724,0.3873015873015873,0.40634920634920635,0.4702947845804989,0.4018140589569161,0.41148904006046866
1,1,0,1,0,0,1,0,0,0,1,1,0.45,0.3545045045045045,0.3900900900900901,0.4036036036036036,0.47387387387387386,0.4009009009009009,0.4121621621621622
0,0,1,1,0,0,1,0,0,0,1,1,0.4469798657718121,0.35883668903803134,0.38791946308724834,0.4008948545861298,0.4774049217002237,0.4,0.41200596569724085
1,0,1,1,0,0,1,0,0,0,1,1,0.444,0.3631111111111111,0.3857777777777778,0.3982222222222222,0.48088888888888887,0.39911111111111114,0.41185185185185186
0,1,1,1,0,0,1,0,0,0,1,1,0.4410596026490066,0.36644591611479027,0.3841059602649007,0.3955849889624724,0.48432671081677703,0.39823399558498895,0.41162619573215603
1,1,1,1,0,0,1,0,0,0,1,1,0.4381578947368421,0.3706140350877193,0.3868421052631579,0.3929824561403509,0.48771929824561405,0.3973684210526316,0.41228070175438597
0,0,0,0,1,0,1,0,0,0,1,1,0.43529411764705883,0.3738562091503268,0.38649237472766884,0.3904139433551198,0.49106753812636167,0.39651416122004357,0.41227305737109665
1,0,0,0,1,0,1,0,0,0,1,1,0.43246753246753245,0.37705627705627703,0.3891774891774892,0.3878787878787879,0.49437229437229435,0.3956709956709957,0.41277056277056273
0,1,0,0,1,0,1,0,0,0,1,1,0.4296774193548387,0.38021505376344084,0.38881720430107525,0.3853763440860215,0.4976344086021505,0.39483870967741935,0.4127598566308244
1,1,0,0,1,0,1,0,0,0,1,1,0.4269230769230769,0.3841880341880342,0.39145299145299145,0.38290598290598293,0.5008547008547009,0.394017094017094,0.41339031339031335
0,0,1,0,1,0,1,0,0,0,1,1,0.42420382165605097,0.3872611464968153,0.38980891719745225,0.3804670912951168,0.5040339702760085,0.3932059447983015,0.41316348195329083
1,0,1,0,1,0,1,0,0,0,1,1,0.4215189873417722,0.3911392405063291,0.3924050632911392,0.3780590717299578,0.5071729957805907,0.3924050632911392,0.4137834036568213
0,1,1,0,1,0,1,0,0,0,1,1,0.4188679245283019,0.3941299790356394,0.3907756813417191,0.3756813417190776,0.5102725366876311,0.39161425576519915,0.4135569531795946
1,1,1,0,1,0,1,0,0,0,1,1,0.41625,0.39791666666666664,0.3933333333333333,0.37333333333333335,0.5133333333333333,0.3908333333333333,0.4141666666666666
